"latitude","longitude","altitude","geometry","coordinates","name","description","_umap_options","code","nom"
"50.106212","1.840478",,"Point",,"ABBEVILLE","<b>10 heures</b> Boulevard Vauban",,1,
"43.31548","3.47166",,"Point",,"AGDE","<b>10 heures</b> Moulin des Évêques","CornflowerBlue",,
"44.198274","0.615631",,"Point",,"AGEN","<b>10 heures</b>
Parc de la Préfecture","DarkTurquoise",1,
"43.56799","4.19054",,"Point",,"AIGUES-MORTES","<b>10 heures</b> Place Anatole France","CornflowerBlue",,
"41.92715","8.738975",,"Point",,"AJACCIO","<b>14 heures</b> Devant la Gare SNCF",,1,
"50.00135","2.65165",,"Point",,"ALBERT","<b>18 heures 30</b> Place de l’hôtel de ville",,,
"45.672866","6.383421",,"Point",,"ALBERTVILLE","<b>10 heures</b> Gare SNCF",,1,
"43.92714","2.14789",,"Point",,"ALBI","<b>14 heures 30</b> Place du Vigan","CornflowerBlue",1,
"48.43407","0.093762",,"Point",,"ALENÇON","<b>11 heures</b> Place du Général de Gaulle","DarkTurquoise",1,
"44.127656","4.084656",,"Point",,"ALÈS","<b>10 heures</b> Gare SNCF","CornflowerBlue",1,
"45.96040","5.34828",,"Point",,"AMBÉRIEUX-EN-BUGEY","<b>10 heures</b> Espace 1500",,,
"45.553111","3.740458",,"Point",,"AMBERT","<b>18 heures</b> Rond-point Hôpital",,,
"49.894068","2.292323",,"Point",,"AMIENS","<b>14 heures</b> Maison de la Culture",,1,
"47.373296","-1.178799",,"Point",,"ANCENIS","<b>10 heures</b> Rassemblement station Esso",,1,
"47.471452","-0.545315",,"Point",,"ANGERS","<b>14 heures</b> Place du Maréchal Leclerc",,1,
"45.64774","0.15435",,"Point",,"ANGOULÊME","<b>14 heures</b> Gare SNCF","DarkTurquoise",1,
"45.902254","6.128818",,"Point",,"ANNECY","<b>14 heures</b> Préfecture",,1,
"46.193044","6.234119",,"Point",,"ANNEMASSE","<b>17 heures</b>
Place de l'Hôtel de Ville",,,
"45.243897","4.668551",,"Point",,"ANNONAY","<b>14 heures 30</b> Gare routière",,1,
"48.748546","-0.027262",,"Point",,"ARGENTAN","<b>10 heures 30</b> Rond-point Carrefour Market","DarkTurquoise",1,
"46.58556","1.522615",,"Point",,"ARGENTON-SUR-CREUSE","<b>15 heures</b> Place de Champ de Foire","CornflowerBlue",1,
"50.287403","2.780968",,"Point",,"ARRAS","<b>9 heures 30</b>
Place de la Gare",,1,
"43.675102","4.628023",,"Point",,"ARLES","<b>10 heures 30</b>
Kiosque à musique","DarkTurquoise",,
"44.61553","4.40128",,"Point",,"AUBENAS","<b>13 heures 30</b> Rond-point Ponson",,1,
"43.663273","0.599125",,"Point",,"AUCH","<b>10 heures 30</b> Rond-point des Justes","CornflowerBlue",1,
"44.921072","2.435306",,"Point",,"AURILLAC","<b>14 heures</b> Gare SNCF",,1,
"46.954803","4.29338",,"Point",,"AUTUN","<b>14 heures 30</b> Parking de la gare","DarkTurquoise",1,
"47.791971","3.566861",,"Point",,"AUXERRE","<b>14 heures</b> Maison des Syndicats","DarkTurquoise",1,
"43.947292","4.800175",,"Point",,"AVIGNON","<b>10 heures 30</b> Porte Saint-Dominique","DarkTurquoise",1,
"48.68675","-1.361739",,"Point",,"AVRANCHES","<b>14 heures 30</b> Mairie","DarkTurquoise",1,
"44.161511","4.617906",,"Point",,"BAGNOLS-SUR-CÈZE","<b>10 heures 30</b> Monument aux Morts","CornflowerBlue",1,
"48.76636","5.17655",,"Point",,"BAR-LE-DUC","<b>14 heures</b> Parking Lidl Bradfer","CornflowerBlue",1,
"48.23557","4.70108",,"Point",,"BAR-SUR-AUBE","<b>15 heures 30</b> Place du Jard","CornflowerBlue",,
"44.38751","6.65292",,"Point",,"BARCELONETTE","<b>10 heures</b> Place Manuel","DarkTurquoise",,
"42.695526","9.446375",,"Point",,"BASTIA","<b>10 heures</b> Tribunal",,1,
"47.35273","6.36154",,"Point",,"BAUME-LES-DAMES","<b>10 heures</b> Place de la République","DarkTurquoise",,
"43.49697","-1.474716",,"Point",,"BAYONNE","<b>10 heures 30</b> Place Sainte-Ursule","DarkTurquoise",1,
"49.281703","-0.713333",,"Point",,"BAYEUX","<b>17 heures</b>
Place Saint-Patrice","DarkTurquoise",1,
"47.781227","1.616943",,"Point",,"BEAUGENCY","<b>10 heures 30</b> Parking des Chaussées","CornflowerBlue",1,
"47.02727","4.839531",,"Point",,"BEAUNE","<b>10 heures</b>
Porte Saint-Nicolas","DarkTurquoise",1,
"49.451736","2.098839",,"Point",,"BEAUVAIS","<b>14 heures</b> Giratoire Marcel Dassault",,1,
"43.61664","3.15743",,"Point",,"BÉDARIEUX","<b>10 heures 30</b>
Maison des syndicats","CornflowerBlue",1,
"47.641784","6.851413",,"Point",,"BELFORT","<b>10 heures</b> La Maison du Peuple","DarkTurquoise",1,
"47.346732","-3.153291",,"Point",,"BELLE-ÎLE-EN-MER","<b>11 heures</b> Quai Bonnelle","CornflowerBlue",1,
"44.852914","0.48658",,"Point",,"BERGERAC","<b>15 heures</b> Place du Palais","DarkTurquoise",1,
"47.244199","6.020304",,"Point",,"BESANÇON","<b>14 heures</b> Parking Battant","DarkTurquoise",1,
"50.516673","2.630057",,"Point",,"BÉTHUNE","<b>10 heures</b> Place de l’Europe",,1,
"43.345514","3.219705",,"Point",,"BÉZIERS","<b>10 heures 30</b> Maison des syndicats","CornflowerBlue",1,
"44.927117","1.845352",,"Point",,"BIARS-SUR-CÈRE","<b>10 heures</b> Place de la Mairie","CornflowerBlue",1,
"47.579775","1.34531",,"Point",,"BLOIS","<b>14 heures 30</b> Parc Expo","CornflowerBlue",1,
"44.841432","-0.570045",,"Point",,"BORDEAUX","<b>12 heures</b> Place de la Bourse","DarkTurquoise",1,
"43.290897","0.647796",,"Point",,"BOULOGNE-SUR-GESSE","<b>10 heures 30</b> Boulevard du Midi","CornflowerBlue",,
"50.72172","1.607375",,"Point",,"BOULOGNE-SUR-MER","<b>9 heures 30</b> Parvis Victor Planchon",,1,
"46.207034","5.229812",,"Point",,"BOURG-EN-BRESSE","<b>14 heures 30</b> Champ de Foire",,1,
"47.077531","2.399354",,"Point",,"BOURGES","<b>10 heures</b> Place Séraucourt","CornflowerBlue",1,
"45.589291","5.276621",,"Point",,"BOURGOIN-JALLIEU","<b>10 heures</b> Place Saint-Michel",,1,
"46.837622","-0.494865",,"Point",,"BRESSUIRE","<b>14 heures</b> Place Saint-Jacques","DarkTurquoise",1,
"48.390615","-4.485641",,"Point",,"BREST","<b>10 heures 30</b> Place de la Liberté","CornflowerBlue",1,
"44.898467","6.640002",,"Point",,"BRIANÇON","<b>14 heures 30</b> Sous-préfecture","DarkTurquoise",,
"43.406436","6.061984",,"Point",,"BRIGNOLES","<b>18 heures 30</b> Place Caramy","DarkTurquoise",1,
"45.29441","3.38118",,"Point",,"BRIOUDE","<b>10 heures 30</b> Place de Paris",,,
"45.163431","1.534213",,"Point",,"BRIVE-LA-GAILLARDE","<b>15 heures</b> Place de la Guierle","DarkTurquoise",1,
"49.178035","-0.350345",,"Point",,"CAEN","<b>14 heures 30</b> Place Saint-Pierre","DarkTurquoise",1,
"44.461728","1.41906",,"Point",,"CAHORS","<b>14 heures</b> Rond-point Leclerc Auto","CornflowerBlue",1,
"50.952432","1.85375",,"Point",,"CALAIS","<b>9 heures 30</b> Place de la Mairie",,1,
"50.190556","3.259099",,"Point",,"CAMBRAI","<b>10 heures 30</b> Sucrerie Tereos d’Escaudœuvres",,1,
"43.55373","7.02032",,"Point",,"CANNES","<b>10 heures</b> Gare SNCF","DarkTurquoise",,
"43.216929","2.350473",,"Point",,"CARCASSONNE","<b>14 heures 30</b> Square André Chénier","CornflowerBlue",1,
"49.314618","-1.255703",,"Point",,"CARENTAN","<b>14 heures</b> Gare SNCF","DarkTurquoise",,
"48.277881","-3.562843",,"Point",,"CARHAIX-PLOUGUER","<b>10 heures 30</b> Place de la Gare","CornflowerBlue",1,
"43.604227","2.245787",,"Point",,"CASTRES","<b>11 heures</b> Place Soult","CornflowerBlue",1,
"4.92646","-52.28924",,"Point",,"CAYENNE","<b>9 heures</b> Montjoly 2",,,
"46.843168","-1.878898",,"Point",,"CHALLANS","<b>10 heures 30</b> Boulevard Jean Yole – Salle Michel Vrignaud",,1,
"48.96261","4.366572",,"Point",,"CHÂLONS-EN-CHAMPAGNE","<b>10 heures</b> Maison des syndicats","CornflowerBlue",1,
"46.784193","4.865227",,"Point",,"CHALON-SUR-SAÔNE","<b>10 heures</b> Esplanade Sainte-Marie","DarkTurquoise",1,
"45.568141","5.919206",,"Point",,"CHAMBÉRY","<b>14 heures</b> Place du palais de justice",,1,
"49.773702","4.714234",,"Point",,"CHARLEVILLE-MÉZIÈRES","<b>14 heures</b> Avenue Francois Mitterrand","CornflowerBlue",1,
"48.442737","1.485767",,"Point",,"CHARTRES","<b>14 heures 30</b> Théâtre","CornflowerBlue",1,
"47.82706","-0.70659",,"Point",,"CHÂTEAU-GONTIER","<b>17 heures</b> Place Paul Doumer",,,
"49.04009","3.40477",,"Point",,"CHÂTEAU-THIERRY","<b>16 heures</b> Place Paul Doumer",,1,
"47.721225","-1.376123",,"Point",,"CHÂTEAUBRIANT","<b>10 heures</b> Place de la Mairie",,1,
"46.811418","1.691728",,"Point",,"CHÂTEAUROUX","<b>10 heures</b> Place de la République","CornflowerBlue",1,
"46.814041","0.531367",,"Point",,"CHÂTELLERAULT","<b>10 heures</b> Boulevard de l’Envigne – Sécurité Sociale","DarkTurquoise",1,
"48.111146","5.139646",,"Point",,"CHAUMONT","<b>17 heures</b> Place de l'Hôtel de Ville","CornflowerBlue",1,
"49.636579","-1.61925",,"Point",,"CHERBOURG","<b>14 heures</b> Esplanade du Centre commercial des Eléis","DarkTurquoise",1,
"47.16391","0.23757",,"Point",,"CHINON","<b>17 heures</b> Quai Danton","CornflowerBlue",,
"47.044006","-0.897435",,"Point",,"CHOLET","<b>10 heures 30</b> Avenue des Sables",,1,
"46.14857","0.29519",,"Point",,"CIVRAY","<b>10 heures 30</b> Mairie","DarkTurquoise",1,
"45.785748","3.100441",,"Point",,"CLERMONT-FERRAND","<b>10 heures</b> Place du 1er Mai",,1,
"43.62685","3.43492",,"Point",,"CLERMONT-L’HÉRAULT","<b>11 heures</b> Allées Roger Salengro","CornflowerBlue",,
"47.08619","-1.28616",,"Point",,"CLISSON","<b>11 heures</b> Parvis de la gare",,1,
"46.057846","6.580288",,"Point",,"CLUSES","<b>16 heures</b>
Place des Allobroges",,1,
"45.693304","-0.32523",,"Point",,"COGNAC","<b>10 heures</b> Place François 1er","DarkTurquoise",1,
"48.07683","7.354",,"Point",,"COLMAR","<b>14 heures</b> Place Rapp","CornflowerBlue",,
"48.41479","-1.74226",,"Point",,"COMBOURG","<b>18 heures</b> Lycée Châteaubriand","CornflowerBlue",1,
"48.76332","5.59185",,"Point",,"COMMERCY","<b>9 heures 30</b> Place du Château","CornflowerBlue",,
"49.404607","2.781343",,"Point",,"COMPIÈGNE","<b>10 heures</b> Rond-point Carrefour Venette",,,
"48.85081","-0.55238",,"Point",,"CONDÉ-EN-NORMANDIE","<b>17 heures 30</b> Place de la Mairie","DarkTurquoise",,
"48.81523","3.08536",,"Point",,"COULOMMIERS","<b>9 heures 30</b> Halle aux fromages",,,
"49.06948","-1.430111",,"Point",,"COUTANCES","<b>10 heures 30</b> Rond-point des Pommiers","DarkTurquoise",1,
"49.24918","2.47508",,"Point",,"CREIL","<b>10 heures</b> Champ de Mars",,,
"43.712363","-1.050074",,"Point",,"DAX","<b>10 heures</b> Parc des Arènes","DarkTurquoise",1,
"44.56086","2.25424",,"Point",,"DECAZEVILLE","<b>10 heures 30</b> Square Pierre Delpech","CornflowerBlue",,
"49.92211","1.08071",,"Point",,"DIEPPE","<b>10 heures 30</b> Gare","DarkTurquoise",1,
"44.091569","6.231075",,"Point",,"DIGNE-LES-BAINS","<b>14 heures</b> Gare Routière","DarkTurquoise",1,
"47.321236","5.041357",,"Point",,"DIJON","<b>14 heures</b> Place de la Libération","DarkTurquoise",1,
"48.45409","-2.04835",,"Point",,"DINAN","<b>11 heures 30</b> Place Duclos Pinot","CornflowerBlue",1,
"48.54863","-1.75478",,"Point",,"DOL-DE-BRETAGNE","<b>11 heures</b> Boulevard Deminiac (La Poste)","CornflowerBlue",,
"47.091484","5.497799",,"Point",,"DOLE","<b>10 heures 30</b> Avenue de Lahr","DarkTurquoise",,
"50.367618","3.082969",,"Point",,"DOUAI","<b>10 heures</b> Place d’Armes",,1,
"50.15711","2.34103",,"Point",,"DOULLENS","<b>18 heures 30</b> Hôtel de ville",,,
"43.53815","6.461602",,"Point",,"DRAGUIGNAN","<b>10 heures 30</b> Sous-préfecture","DarkTurquoise",1,
"48.731618","1.370244",,"Point",,"DREUX","<b>9 heures 30</b> Gare SNCF","CornflowerBlue",1,
"51.030687","2.36971",,"Point",,"DUNKERQUE","<b>14 heures 30 </b> Place de la Gare",,1,
"49.29206","1.00713",,"Point",,"ELBEUF","<b>17 heures</b> Place de la Mairie","DarkTurquoise",,
"49.044054","3.951111",,"Point",,"ÉPERNAY","<b>10 heures 30</b> Place Carnot","CornflowerBlue",1,
"48.172668","6.448336",,"Point",,"ÉPINAL","<b>14 heures</b> Préfecture","CornflowerBlue",1,
"50.046522","1.423461",,"Point",,"EU","<b>15 heures</b> Place du Champ de Mars","DarkTurquoise",1,
"49.023239","1.136377",,"Point",,"ÉVREUX","<b>14 heures</b>  Rond-point Cora","DarkTurquoise",1,
"48.88965","-0.19544",,"Point",,"FALAISE","<b>17 heures</b> Place Edward Holman","DarkTurquoise",1,
"49.757905","0.385026",,"Point",,"FÉCAMP","<b>14 heures 30</b> Espace Henri Dunant","DarkTurquoise",1,
"44.609328","2.028126",,"Point",,"FIGEAC","<b>11 heures</b> Lycée Jean-François Champollion","CornflowerBlue",1,
