"description","dept","name"
"Place des Terreaux","01","BELLEY"
"Champ de Foire","01","BOURG-EN-BRESSE"
"Valexpo","01","OYONNAX"
"Hôtel de ville","01","VALSERHÔNE"
"Zone de Leclerc","02","CHÂTEAU-THIERRY"
"Rue de Dinant (CGT)","02","HIRSON"
"Centre commercial Leclerc","02","LAON"
"Place du 8 Octobre","02","SAINT-QUENTIN"
"Rond-point de l’Archer","02","SOISSONS"
"Place Jean Dormoy","03","MONTLUÇON"
"Place de la Liberté","03","MOULINS"
"Place Charles de Gaulle","03","VICHY"
"Hôtel de ville","04","BARCELONETTE"
"Rond-point du 11 novembre 1918","04","DIGNE-LES-BAINS"
"Sous-préfecture","05","BRIANÇON"
"Préfecture","05","GAP"
"Préfecture – CADAM","06","NICE"
"Gare routière","07","ANNONAY"
"Rond-point Ponson","07","AUBENAS"
"Gradins Place des Frères Montgolfier","07","LAMASTRE"
"Mairie","07","LE CHEYLARD"
"Tribunal","07","PRIVAS"
"Place Ducale","08","CHARLEVILLE-MÉZIÈRES"
"Haut de Villote","09","FOIX"
"Servipôle Avenue du Général Leclerc","10","BAR-SUR-AUBE"
"Bourse du Travail<br> Rue de la Boule d’Or","10","ROMILLY-SUR-SEINE"
"Place Jean Jaurès","10","TROYES"
"Rond-point Autoroute Ouest<br>(Darty Décathlon)","11","CARCASSONNE"
"Théâtre","11","NARBONNE"
"Place d’Armes","12","RODEZ"
"Kiosque à musique","13","ARLES"
"Vieux Port","13","MARSEILLE"
"Le Cargö","14","CAEN"
"Place Edward Holman","14","FALAISE"
"Place François Mitterrand","14","LISIEUX"
"Porte de l'Horloge","14","VIRE"
"Gare SNCF","15","AURILLAC"
"Allées de l'Octroi","15","SAINT-FLOUR"
"Gare SNCF","16","ANGOULÊME"
"Place François 1er","16","COGNAC"
"Parvis de la Gare SNCF","17","LA ROCHELLE"
"Rond-point du Polygone","17","ROCHEFORT"
"Palais de Justice","17","SAINTES"
"Place Séraucourt","18","BOURGES"
"Place du Général de Gaulle","18","LA GUERCHE-SUR-L'AUBOIS"
"Place Jean Giraud","18","SAINT-AMAND-MONTROND"
"Place Jacques Brel","18","VIERZON"
"Place de la Guierle","19","BRIVE-LA-GAILLARDE"
"Gare","19","TULLE"
"Place Voltaire","19","USSEL"
"Rue des Blanches Fleurs (NOZ)","21","BEAUNE"
"Place de la Libération","21","DIJON"
"Place Gambetta","21","MONTBARD"
"Esplanade de la Résistance","22","DINAN"
"Hôtel de ville","22","GUINGAMP"
"Gare SNCF","22","LAMBALLE"
"Giratoire Anita Conti<br>(Lannion Trégor Communauté)","22","LANNION"
"Place de la Liberté","22","SAINT-BRIEUC"
"Gare SNCF Gare routière","23","GUÉRET"
"Place du Palais","24","BERGERAC"
"Palais de Justice","24","PÉRIGUEUX"
"Lycée Pré de Cordy","24","SARLAT-LA-CANÉDA"
"Parking Battant","25","BESANÇON"
"Champ de Foire","25","MONTBÉLIARD"
"Place d’Arçon","25","PONTARLIER"
"Rond-point du Soleil Levant","26","MONTÉLIMAR"
"Mairie","26","NYONS"
"Place Jules Nadi","26","ROMANS-SUR-ISÈRE"
"Giratoire de Valence 2","26","VALENCE"
"Rond-point Cora","27","ÉVREUX"
"Place de la Mairie","27","GISORS"
"Place de Verdun","27","PONT-AUDEMER"
"Rond-point Clémenceau","27","VERNON"
"Théâtre","28","CHARTRES"
"Place de la Liberté","29","BREST"
"Place du Champ de Foire","29","CARHAIX-PLOUGUER"
"Place Edmond Puyo","29","MORLAIX"
"Place de la Mairie","29","OUESSANT"
"Route de Brest – Rond-point Fly","29","QUIMPER"
"Gare SNCF","29","QUIMPERLÉ"
"Devant la Gare SNCF","2A","AJACCIO"
"Place Vincetti","2B","BASTIA"
"Sous-préfecture","30","ALÈS"
"Monument aux Morts","30","BAGNOLS-SUR-CÈZE"
"Hôtel de ville","30","LE VIGAN"
"Jardins de la Fontaine – Avenue Jean Jaurès","30","NÎMES"
"Mairie","30","UZÈS"
"Allées Niel","31","MURET"
"Place Jean Pégot","31","SAINT-GAUDENS"
"Saint-Cyprien","31","TOULOUSE"
"Gare SNCF","32","AUCH"
"Allées de Tourny","33","BORDEAUX"
"Moulin des Évêques","34","AGDE"
"Maison des syndicats","34","BÉDARIEUX"
