"latitude","longitude","altitude","geometry","coordinates","name","dept","hour","description","_umap_options","code","nom"
"45.760113","5.686213",,"Point",,"BELLEY","01","9 heures 30","Place des Terreaux","Default",1,
"46.207034","5.229812",,"Point",,"BOURG-EN-BRESSE","01","14 heures","Champ de Foire","Default",1,
"46.26120","5.64846",,"Point",,"OYONNAX","01","9 heures 30","Valexpo","Default",1,
"46.107497","5.825983",,"Point",,"VALSERHÔNE","01","10 heures","Hôtel de ville","Default",1,
"49.037333","3.390312",,"Point",,"CHÂTEAU-THIERRY","02","7 heures","Zone de Leclerc","Default",1,
"49.917117","4.082569",,"Point",,"HIRSON","02","14 heures","Rue de Dinant (CGT)","Default",1,
"49.587109","3.647439",,"Point",,"LAON","02","10 heures","Centre commercial Leclerc","Default",1,
"49.842125","3.294978",,"Point",,"SAINT-QUENTIN","02","15 heures","Place du 8 Octobre","Default",1,
"49.3664","3.3105",,"Point",,"SOISSONS","02","12 heures","Rond-point de l’Archer","Default",1,
"46.346909","2.598229",,"Point",,"MONTLUÇON","03","14 heures 30","Place Jean Dormoy","Default",1,
"46.562943","3.330697",,"Point",,"MOULINS","03","14 heures 30","Place de la Liberté","Default",1,
"46.124954","3.426517",,"Point",,"VICHY","03","14 heures 30","Place Charles de Gaulle","Default",1,
"44.386182","6.650213",,"Point",,"BARCELONETTE","04","10 heures","Hôtel de ville","DarkTurquoise",1,
"44.091001","6.231327",,"Point",,"DIGNE-LES-BAINS","04","14 heures","Rond-point du 11 novembre 1918","DarkTurquoise",1,
"44.898467","6.640002",,"Point",,"BRIANÇON","05","14 heures 30","Sous-préfecture","DarkTurquoise",1,
"44.557858","6.076376",,"Point",,"GAP","05","10 heures","Préfecture","DarkTurquoise",1,
"43.676217","7.199607",,"Point",,"NICE","06","10 heures","Préfecture – CADAM","DarkTurquoise",1,
"45.243897","4.668551",,"Point",,"ANNONAY","07","14 heures 30","Gare routière","Default",1,
"44.61553","4.40128",,"Point",,"AUBENAS","07","14 heures","Rond-point Ponson","Default",1,
"44.98577","4.57962",,"Point",,"LAMASTRE","07","15 heures 30","Gradins Place des Frères Montgolfier","Default",1,
"44.906089","4.423319",,"Point",,"LE CHEYLARD","07","14 heures","Mairie","Default",1,
"44.734685","4.601083",,"Point",,"PRIVAS","07","10 heures","Tribunal","Default",1,
"49.773523","4.720952",,"Point",,"CHARLEVILLE-MÉZIÈRES","08","13 heures 30","Place Ducale","CornflowerBlue",1,
"42.963823","1.606933",,"Point",,"FOIX","09","14 heures","Haut de Villote","CornflowerBlue",1,
"48.238314","4.700347",,"Point",,"BAR-SUR-AUBE","10","15 heures 30","Servipôle Avenue du Général Leclerc","CornflowerBlue",1,
