"latitude","longitude","altitude","geometry","coordinates","name","dept","hour","description","_umap_options","code","nom"
"50.106212","1.840478",,"Point",,"ABBEVILLE","80","10 heures","Boulevard Vauban","Default",1,
"43.31548","3.47166",,"Point",,"AGDE","34","10 heures","Moulin des Évêques","CornflowerBlue",,
"44.198274","0.615631",,"Point",,"AGEN","47","10 heures","Parc de la Préfecture","DarkTurquoise",1,
"43.56799","4.19054",,"Point",,"AIGUES-MORTES","30","10 heures","Place Anatole France","CornflowerBlue",,
"41.92715","8.738975",,"Point",,"AJACCIO","2A","14 heures","Devant la Gare SNCF","Default",1,
"50.00135","2.65165",,"Point",,"ALBERT","80","18 heures 30","Place de l’hôtel de ville","Default",,
"45.672866","6.383421",,"Point",,"ALBERTVILLE","73","10 heures","Gare SNCF","Default",1,
"43.92714","2.14789",,"Point",,"ALBI","81","14 heures 30","Place du Vigan","CornflowerBlue",1,
"48.43407","0.093762",,"Point",,"ALENÇON","61","11 heures","Place du Général de Gaulle","DarkTurquoise",1,
"44.127656","4.084656",,"Point",,"ALÈS","30","10 heures","Gare SNCF","CornflowerBlue",1,
"45.96040","5.34828",,"Point",,"AMBÉRIEUX-EN-BUGEY","01","10 heures","Espace 1500","Default",,
"45.553111","3.740458",,"Point",,"AMBERT","63","18 heures","Rond-point Hôpital","Default",,
"49.894068","2.292323",,"Point",,"AMIENS","80","14 heures","Maison de la Culture","Default",1,
"47.373296","-1.178799",,"Point",,"ANCENIS","44","10 heures","Rassemblement station Esso","Default",1,
"47.471452","-0.545315",,"Point",,"ANGERS","49","14 heures","Place du Maréchal Leclerc","Default",1,
"45.64774","0.15435",,"Point",,"ANGOULÊME","16","14 heures","Gare SNCF","DarkTurquoise",1,
"45.902254","6.128818",,"Point",,"ANNECY","74","14 heures","Préfecture","Default",1,
"46.193044","6.234119",,"Point",,"ANNEMASSE","74","17 heures","Place de l'Hôtel de Ville","Default",,
"45.243897","4.668551",,"Point",,"ANNONAY","07","14 heures 30","Gare routière","Default",1,
"48.748546","-0.027262",,"Point",,"ARGENTAN","61","10 heures 30","Rond-point Carrefour Market","DarkTurquoise",1,
"46.58556","1.522615",,"Point",,"ARGENTON-SUR-CREUSE","36","15 heures","Place de Champ de Foire","CornflowerBlue",1,
"50.287403","2.780968",,"Point",,"ARRAS","62","9 heures 30","Place de la Gare","Default",1,
"43.675102","4.628023",,"Point",,"ARLES","13","10 heures 30","Kiosque à musique","DarkTurquoise",,
"44.61553","4.40128",,"Point",,"AUBENAS","07","13 heures 30","Rond-point Ponson","Default",1,
"43.663273","0.599125",,"Point",,"AUCH","32","10 heures 30","Rond-point des Justes","CornflowerBlue",1,
"44.921072","2.435306",,"Point",,"AURILLAC","15","14 heures","Gare SNCF","Default",1,
"46.954803","4.29338",,"Point",,"AUTUN","71","14 heures 30","Parking de la gare","DarkTurquoise",1,
"47.791971","3.566861",,"Point",,"AUXERRE","89","14 heures","Maison des Syndicats","DarkTurquoise",1,
"43.947292","4.800175",,"Point",,"AVIGNON","84","10 heures 30","Porte Saint-Dominique","DarkTurquoise",1,
"48.68675","-1.361739",,"Point",,"AVRANCHES","50","14 heures 30","Mairie","DarkTurquoise",1,
"44.161511","4.617906",,"Point",,"BAGNOLS-SUR-CÈZE","30","10 heures 30","Monument aux Morts","CornflowerBlue",1,
"48.76636","5.17655",,"Point",,"BAR-LE-DUC","55","14 heures","Parking Lidl Bradfer","CornflowerBlue",1,
"48.23557","4.70108",,"Point",,"BAR-SUR-AUBE","10","15 heures 30","Place du Jard","CornflowerBlue",,
"44.38751","6.65292",,"Point",,"BARCELONETTE","04","10 heures","Place Manuel","DarkTurquoise",,
"42.695526","9.446375",,"Point",,"BASTIA","2B","10 heures","Tribunal","Default",1,
"47.35273","6.36154",,"Point",,"BAUME-LES-DAMES","25","10 heures","Place de la République","DarkTurquoise",,
"43.49697","-1.474716",,"Point",,"BAYONNE","64","10 heures 30","Place Sainte-Ursule","DarkTurquoise",1,
"49.281703","-0.713333",,"Point",,"BAYEUX","14","17 heures","Place Saint-Patrice","DarkTurquoise",1,
"47.781227","1.616943",,"Point",,"BEAUGENCY","45","10 heures 30","Parking des Chaussées","CornflowerBlue",1,
"47.02727","4.839531",,"Point",,"BEAUNE","21","10 heures","Porte Saint-Nicolas","DarkTurquoise",1,
"49.451736","2.098839",,"Point",,"BEAUVAIS","60","14 heures","Giratoire Marcel Dassault","Default",1,
"43.61664","3.15743",,"Point",,"BÉDARIEUX","34","10 heures 30","Maison des syndicats","CornflowerBlue",1,
"47.641784","6.851413",,"Point",,"BELFORT","90","10 heures","La Maison du Peuple","DarkTurquoise",1,
"47.346732","-3.153291",,"Point",,"BELLE-ÎLE-EN-MER","56","11 heures","Quai Bonnelle","CornflowerBlue",1,
"44.852914","0.48658",,"Point",,"BERGERAC","24","15 heures","Place du Palais","DarkTurquoise",1,
"47.244199","6.020304",,"Point",,"BESANÇON","25","14 heures","Parking Battant","DarkTurquoise",1,
"50.516673","2.630057",,"Point",,"BÉTHUNE","62","10 heures","Place de l’Europe","Default",1,
"43.345514","3.219705",,"Point",,"BÉZIERS","34","10 heures 30","Maison des syndicats","CornflowerBlue",1,
"44.927117","1.845352",,"Point",,"BIARS-SUR-CÈRE","46","10 heures","Place de la Mairie","CornflowerBlue",1,
"47.579775","1.34531",,"Point",,"BLOIS","41","14 heures 30","Parc Expo","CornflowerBlue",1,
"44.841432","-0.570045",,"Point",,"BORDEAUX","33","12 heures","Place de la Bourse","DarkTurquoise",1,
"43.290897","0.647796",,"Point",,"BOULOGNE-SUR-GESSE","31","10 heures 30","Boulevard du Midi","CornflowerBlue",,
"50.72172","1.607375",,"Point",,"BOULOGNE-SUR-MER","62","9 heures 30","Parvis Victor Planchon","Default",1,
"46.207034","5.229812",,"Point",,"BOURG-EN-BRESSE","01","14 heures 30","Champ de Foire","Default",1,
"47.077531","2.399354",,"Point",,"BOURGES","18","10 heures","Place Séraucourt","CornflowerBlue",1,
"45.589291","5.276621",,"Point",,"BOURGOIN-JALLIEU","38","10 heures","Place Saint-Michel","Default",1,
"46.837622","-0.494865",,"Point",,"BRESSUIRE","79","14 heures","Place Saint-Jacques","DarkTurquoise",1,
"48.390615","-4.485641",,"Point",,"BREST","29","10 heures 30","Place de la Liberté","CornflowerBlue",1,
"44.898467","6.640002",,"Point",,"BRIANÇON","05","14 heures 30","Sous-préfecture","DarkTurquoise",,
"43.406436","6.061984",,"Point",,"BRIGNOLES","83","18 heures 30","Place Caramy","DarkTurquoise",1,
"45.29441","3.38118",,"Point",,"BRIOUDE","43","10 heures 30","Place de Paris","Default",,
"45.163431","1.534213",,"Point",,"BRIVE-LA-GAILLARDE","19","15 heures","Place de la Guierle","DarkTurquoise",1,
"49.178035","-0.350345",,"Point",,"CAEN","14","14 heures 30","Place Saint-Pierre","DarkTurquoise",1,
"44.461728","1.41906",,"Point",,"CAHORS","46","14 heures","Rond-point Leclerc Auto","CornflowerBlue",1,
"50.952432","1.85375",,"Point",,"CALAIS","62","9 heures 30","Place de la Mairie","Default",1,
"50.190556","3.259099",,"Point",,"CAMBRAI","59","10 heures 30","Sucrerie Tereos d’Escaudœuvres","Default",1,
"43.55373","7.02032",,"Point",,"CANNES","06","10 heures","Gare SNCF","DarkTurquoise",,
